token_input,token_output
PJMYDLCIWD,GRZILEUQVU
AGYJPIWIRW,SGLWCAKZVC
UDMSHIDFHY,ITPNIGBCVC
WUELHBICIT,OTOEGLENWL
NURQCUOBDF,LDSZUNUDRI
WYILISBQAB,IZEIFBPKXZ
FGGKQTPYOE,MYTWEMMYMH
OWRYFFBZHT,KKCQSLTZFR
VHSRVSKTBB,SCZMBBDRCU
MHNVYLMKWJ,ALEPRZREXH
RBORMHOUXN,GQXQWIEFIT
DZFNTDVYRL,JHEGDIZOMJ
FYRVNOKVVQ,PGOPRIHEGM
IZAKHTTZDV,NZGZWPYQON
PFPAXCMNUX,NLYGTBHFZQ
PWFOMGVFWL,OCRBJEAACV
MTZPMHMUXI,BFRXJJZZTI
ENDILHKHTZ,ZZTPTOJYTK
YIXTKVAUJJ,MVJWLIOPNX
LXTAMNMDPV,OVMJNQCAHB
PHJKERTRQF,JEEJCMTSGW
JOUDWSJMDE,DPPXZZLLZH
WZWEMLCMWN,MAIOYYCVQL
SDXTXDHESG,QSOFCKRESC
QHIQYTYRWE,AFUCXRGWUT
UQAGOIKEPA,UQTHIYABEF
VPODUWGDBR,ZGOGXDOSJL
ODOOZYPILQ,WRMYYKTHJT
VAPWNSLSUO,SMFDTAOUHO
XKEHQBTJZQ,MRPSJXTRFF
