token_input,token_output
ZMEIQGCDEVW,ADVEKKEGVGC
JECUOHUJLQY,UGLQPZIAWZQ
ULSILDWNSZU,DBRLUUUGWNC
GIAQRTYEUFT,YRAEBEYVWUZ
TKKALXQUVYJ,PKZTRASJZJH
VCQNKOVBNEE,EUIURPHIPSP
VBJWWDNTJFM,TYXXXKKAUAR
QTMEGCFBBVP,UJGNCKADTCU
ICXEMMJDVXN,IGMJOLPECBI
FXEVDEHMBJQ,MEJEGYPYEQX
OANZKIQINUT,YTEMYBXWWOG
GHPGNCLRJNA,RRHZEFDTLIS
CRATENQFKEW,KKFPEDIBENK
WALMZBWPZNF,KQHCYKNQMVQ
AKZFBILDOXY,ZKSXBHZKLVP
OZKAYWJOHYS,PCSKAPHHDAM
NATMYMQPFNR,GMXBMYFMBCH
TLYIXEWBJWJ,EXQCGOLAQKI
ENCHWHVMENJ,JBKZYDQJTYV
YGXMQXMSHQC,PAEEZHMGSWC
OLOMVCPLVBB,HLXNQCSVSMJ
SXDZBPPSQAL,SBPNILGSNAW
DNDVZTVBVBL,NQHUMOGQQNY
FNOZRAXKHXS,NKVZWPNNFLD
EBNXFFTRYKC,WSBESJFZPDF
DCGIMDMOUWB,PNLPPJSOOBF
GJWLHVAGVJH,GEBKJZLYLHR
VJASXHIZFZF,VDMLQTEMWZK
RUMKEVJTSVO,QPHXXKWQJFP
TMBUXOFGDBK,EZUTVROOHNL
LTEAWOGQPVO,XRUPPFQTAFT
BFZVNZUCCKF,PZOTMAHJUKP
LQBLWWXEXGJ,FKZAWBYOUNW
NISYFQVGBLH,QXGTEMKRQKS
KDQJXYZNIMU,YRYKGEQEYYW
ZMVHCICQNXW,GTDWPYKDLZM
LDGOGHGCTHM,TXVMMTYNJIQ
NVRTGOGGEFJ,CBRYBZSOMCU
AHPVQMZJJWF,WJYHZTRMZYU
CNVYUOGZVRF,RHJWTWUFOOE
KZPICIPMADR,NZELLDAWCXH
DSKOTTSEOKH,SCWLECKZAYS
WVYTXHGGPBE,TDDMIVXCEAM
KGYTPUBLBQT,RHVSLJBRPSB
SJTXBBZUNIT,IMHBVUVYMSE
MMWMYTEXEPL,PQZPCLXGFDH
HIDISGSRZIQ,UCXDXODOFAS
SJUSJROCXLH,ODCONEGGSPU
EDRSUQRBTOI,NPITLZDWGXI
PXUNEWVHRUA,CCWPPQWFNKT
TYGXCKHZFFN,AMDZIHEEWCI
PJRGFWXFHPP,CJNTIHWFEXM
VMADKFPPEKO,GPYJTFQQHHO
ECVNURNFHFO,QVSMBMXERVM
TKNTHTDDDCJ,IMFYLGXFOAA
HQAXHAICWTX,PHRWALJIVWE
GCBOYUQVVWD,OWXPDZRJULK
ZHVCBSEZROI,EFGLWOTCBOZ
HKUPCOEUUMD,KUUTKCYCYYH
HRLLJJAPQHK,STKSCJGDFBS
CWCLVDGDQTR,EDRCDXXWZOR
AZOZRQHASEA,CZDSJAORSJH
MNZPCJWAFML,TMZPPYLUBCK
SOIJBWWKMVU,AGIZKUQOKCH
KWJPGQUNEXX,VCWJHMZKQLV
HHOAUGJEHHD,ILSSXZXUSZK
ZTKKNXGOTYB,QXIVDMPYPEC
COLHLBJWCKI,YBBVABAMSUI
MXEMFUDELNI,QHZHCXUQDTM
WJXQGMGMEJW,RHNYGKBQSHO
PUSOAJHHBVQ,TVGDEFEZATY
NAZDWNMWLGP,XKFNYMKGOUH
MBJIIGKFYSC,BAXFVOQMFQU
OPNAKGCKDCY,UMKGUJFWNLH
LEHKVCUGUGR,QLBECQQWSOC
FLOUHCSHRJU,SDSZAUPCULM
XSERNSJKLUS,MDWRNNYJGMR
ESAGZPGYGVT,NJFEJHMPIJV
IKTGCFQVQQA,TESZSUEHVLZ
TRRACTXBDQQ,KCMPHITVYFM
GAFMJTEQGLY,MJAUCUTIDRT
NWTWRBLAORL,LWMLCJVIEIT
XKWQJVZZZHJ,ITDVKMTMQVS
ELMBFAOZWKK,DNCEJCWVYSD
GBJKHOZIEWK,HFQRITJHUTT
GKBTTRSGHLR,WDXXDNFYYHG
JLGTXRRZYNT,PNOGOBVFGVD
LLVKRTTWHJZ,RDZNERVGWAT
QEZWRMCPJYU,WUWBQJPCHOX
EXDYSGKICVV,MRUVSFGRTLX
YMWWDWXDLJQ,YRLGFKMWIQN
YWAYZZOMYYO,WYAIMSTOPNP
HNPNWNAUFIT,UNUBVNOFUYM
HAZLFYGEGBK,ZLLRIANZMXF
IFSMIATAYVD,RRUMMARJAMR
GVHFYFJUROE,ISVAMSEUEHH
XNDPGZUKTNI,NHPAVXTTOZG
FMGYRAZCCBK,EEUOVBHYPZL
TMCAKJBLXRX,FXCNCCUNKRK
MLFYEVQBFBE,OXUGUPPIPXE
RQKUOITTKFA,KIUFVJQUEBB
QUOCHQCJBZZ,OXKLJVRZDGW
TEERWODXPJK,MBRIBGRELHT
ZKRJVMUQNGP,ENHPPESIRBI
CRKKOLJUPIR,KTNCIFQRBUY
KQKVJTXJWMU,MUJXQAMZUIJ
PJHQXWMKAUO,TVGMTUUXMFE
MSBROPQSTEB,TEHKQEBILOL
ZJLMQOHEYEF,VKLGMTJEZFV
WHCZXQCURFX,JRWBMAOCICB
MNEFSDOKOUW,SEDTDYXHMCN
RGFJVAUUSNR,HQYDHUVUZAR
EMAJUUTJQSZ,YQVPZKICLRE
TNMVTZQJNAH,BXITAYOBORB
CTSSOZJAUAJ,MBJGQOZGQAY
GQYATZYFZTZ,UORQTAORZXH
BQZOYSOQEZU,PNSNKDXCAFJ
KISAZIOXIBL,EYDNYLBEQQQ
MZHHFYJLOSI,HNQXYTVTZPJ
AETZPVTLRIN,OYNFOQNBSHW
LSMIHDNPFOB,VJBIUTTJUOM
RRTUWRWEOWN,MUKVSSOONPE
FFLZXVLMVCP,CZIBLJCBCHJ
WXXQQRXILQO,QKAJNMWCURZ
SCMGCCEGUNF,YJAPBHRGECP
ITRDQYFCIJS,IVINXWBSXWV
BDHZPZMJBXI,ORLKAGJMZEX
SFMWTGBNEHT,MBITCDIBDFW
DVJPVZSLAAL,IYNAJTQBIKT
ZDXWRXQWVGR,NZBPTOWTYIX
RHRQADRASKK,XDILVBBWMRC
QVNJAJLFJMN,CBJCAQTWDDT
XWZWTHIIZVO,PDIPQHTFAIK
RPYIPJJEATP,HLGRPIGCFIW
LMBUYKMZRRH,XXOIMMBWFEG
RUVYBUSXYNS,CEDQJMIIPXU
MMTHBWCSSSF,OEBMMRJFPLT
TCKBPGJOFNP,PTUZBWVEVWI
QYRDSTKILGU,LGFYYBTVXKX
OQDCCOHZGMB,CJWYPMHQLUK
OSYJBGHKLNP,SZNOPCRJLON
NSCJFCFDMDT,CEXVTSPVJXI
BDLEWJBFPPW,TUMCLXJRQZB
YAOPNHXAFTD,TAHHYYKDPJI
AGUFARXEABU,HLTRCHPNFUH
BQMRLYUOLDF,HRUZVCFACNX
RAKZQDHHWWQ,VOQTABGTXIY
DXQLJPIAAXP,XQIFDQPEOPT
FWZUOFBMLGZ,IJKWXDLLKNK
TOAAGKZQRNS,MQWETYNRGME
BTWUWGWALJC,WCOAQWGMWNZ
YNBVRWICPTH,MIPIVDALXNR
PGEDTVOLZZZ,NZJFYNNGMOW
XTDZSHZYCIB,GVHLKMLLEBS
PGZKPZHBMCS,COCZOUBNZMS
JKPTXAALSOS,FCOJBANHWNB
DHGCAAZFXMM,CHGBVKWAETC
EJGZNISLBFZ,KJPIVRTQWRE
JAFOBWFMLKQ,EWFOAAXAHIN
NGYLVBZQPZG,TPBAEUDRMBO
IBULLQKXSUH,IFSRBJFRFMC
KSTTRTMQPMU,OUAYGBDHCQX
JXFDYGOKBUX,ZAJJOAZONAP
KWAYWJHDXBW,BIZVTPQYUVM
GEKDYHBZKIH,UKKYONNZERX
OVIWSWYMZDT,VXHRHEYITNV
NVDYFSTEYOD,UIRDMBKTMKM
KOZDKKMEWHZ,RNRJOCVCMDS
EYLZDFVWBUH,QFEPIUQRHSI
RFPKSQCMRVI,EFEMSJUZXER
HUTRYPUXCCT,WHKKCLNAWZE
NKFWAUBEFEN,CEFKSIPEVJI
HFJTJCIQRTT,RAOQNQTDHUI
LUSZPBTPAPM,CASRWSMHSNY
