token_input,token_output
CRATENQFKEW,KKFPEDIBENK
ZMVHCICQNXW,GTDWPYKDLZM
CNVYUOGZVRF,RHJWTWUFOOE
MMWMYTEXEPL,PQZPCLXGFDH
PJRGFWXFHPP,CJNTIHWFEXM
HRLLJJAPQHK,STKSCJGDFBS
NAZDWNMWLGP,XKFNYMKGOUH
ELMBFAOZWKK,DNCEJCWVYSD
LLVKRTTWHJZ,RDZNERVGWAT
YWAYZZOMYYO,WYAIMSTOPNP
EMAJUUTJQSZ,YQVPZKICLRE
MZHHFYJLOSI,HNQXYTVTZPJ
LSMIHDNPFOB,VJBIUTTJUOM
RPYIPJJEATP,HLGRPIGCFIW
MMTHBWCSSSF,OEBMMRJFPLT
AGUFARXEABU,HLTRCHPNFUH
DXQLJPIAAXP,XQIFDQPEOPT
BTWUWGWALJC,WCOAQWGMWNZ
YNBVRWICPTH,MIPIVDALXNR
JKPTXAALSOS,FCOJBANHWNB
NGYLVBZQPZG,TPBAEUDRMBO
GEKDYHBZKIH,UKKYONNZERX
KOZDKKMEWHZ,RNRJOCVCMDS
EYLZDFVWBUH,QFEPIUQRHSI
GXCZTDHXJCD,BSMTSYIPLGC
TFJGEKVMMBM,QYASEEPAZBQ
ATEEFOPHRHD,JEEZQUHIMKX
